#{"t_start": 1783772504.6741848, "env_id": "CartPole-v1"}
r,l,t
308.0,308,61.109442
107.0,107,61.147731
349.0,349,61.284642
153.0,153,61.360485
250.0,250,61.474795
183.0,183,61.54929
494.0,494,63.533543
500.0,500,63.831179
406.0,406,63.999582
500.0,500,64.223185
500.0,500,64.42854
500.0,500,66.549464
500.0,500,66.749628
500.0,500,66.959391
281.0,281,67.062193
293.0,293,67.162591
500.0,500,68.997292
500.0,500,69.165234
500.0,500,69.325561
500.0,500,69.48851
500.0,500,71.343953
500.0,500,71.522627
500.0,500,71.701077
500.0,500,71.894509
416.0,416,73.999585
500.0,500,74.209301
98.0,98,74.260713
500.0,500,74.483245
327.0,327,74.639944
500.0,500,76.907872
350.0,350,77.113623
386.0,386,77.276265
500.0,500,77.511044
500.0,500,77.724713
500.0,500,79.865914
500.0,500,80.155538
500.0,500,80.42428
500.0,500,80.68408
500.0,500,82.96657
500.0,500,83.280419
500.0,500,83.548937
500.0,500,83.800728
500.0,500,85.984681
500.0,500,86.330157
500.0,500,86.585171
500.0,500,86.804903
500.0,500,88.530766
500.0,500,88.80626
500.0,500,89.031739
500.0,500,89.233378
500.0,500,90.851887
500.0,500,91.185744
500.0,500,91.40732
500.0,500,91.608695
500.0,500,93.25669
500.0,500,93.575562
500.0,500,93.804501
500.0,500,94.001858
500.0,500,95.596471
500.0,500,95.942519
500.0,500,96.163235
500.0,500,96.372989
500.0,500,96.568223
500.0,500,98.352582
500.0,500,98.587723
500.0,500,98.792844
500.0,500,98.992648
500.0,500,100.801247
500.0,500,101.0454
500.0,500,101.246315
500.0,500,101.438776
